AgentID,Alpha,k,Sigma,Theta
200,1.0744699939175983,23.511271972656253,1.2,0.3
201,1.108689386894538,23.511271972656253,1.2,0.3
202,1.0744699939175983,0.025413574218750002,1.2,0.3
203,1.0744699939175983,23.511271972656253,1.5,0.3
204,1.0744699939175983,23.511271972656253,1.2,0.7
205,1.0744699939175983,0.025413574218750002,1.5,0.7
206,1.108689386894538,23.511271972656253,1.5,0.7
207,1.108689386894538,0.025413574218750002,1.2,0.7
208,1.108689386894538,0.025413574218750002,1.5,0.3
209,1.108689386894538,0.025413574218750002,1.5,0.7
210,1.2194130803566456,48.51077197265625,0.5,0.7
211,1.0035823338604377,48.51077197265625,0.5,0.7
212,1.2194130803566456,25.024913574218754,0.5,0.7
213,1.2194130803566456,48.51077197265625,0.8,0.7
214,1.2194130803566456,48.51077197265625,0.5,0.3
215,1.2194130803566456,25.024913574218754,0.8,0.3
216,1.0035823338604377,48.51077197265625,0.8,0.3
217,1.0035823338604377,25.024913574218754,0.5,0.3
218,1.0035823338604377,25.024913574218754,0.8,0.7
219,1.0035823338604377,25.024913574218754,0.8,0.3
220,1.1231775094868548,11.01152197265625,1.7,0.5
221,1.0614206116106482,11.01152197265625,1.7,0.5
222,1.1231775094868548,37.52466357421875,1.7,0.5
223,1.1231775094868548,11.01152197265625,1.1,0.5
224,1.1231775094868548,11.01152197265625,1.7,0.5
225,1.1231775094868548,37.52466357421875,1.1,0.5
226,1.0614206116106482,11.01152197265625,1.1,0.5
227,1.0614206116106482,37.52466357421875,1.7,0.5
228,1.0614206116106482,37.52466357421875,1.1,0.5
229,1.0614206116106482,37.52466357421875,1.1,0.5
230,1.022911381079571,36.01102197265625,0.9,1.0
231,1.1752066082615666,36.01102197265625,0.9,1.0
232,1.022911381079571,12.52516357421875,0.9,1.0
233,1.022911381079571,36.01102197265625,0.3,1.0
234,1.022911381079571,36.01102197265625,0.9,0.9
235,1.022911381079571,12.52516357421875,0.3,0.9
236,1.1752066082615666,36.01102197265625,0.3,0.9
237,1.1752066082615666,12.52516357421875,0.9,0.9
238,1.1752066082615666,12.52516357421875,0.3,1.0
239,1.1752066082615666,12.52516357421875,0.3,0.9
240,1.005711840713331,14.13645947265625,2.0,0.7
241,1.049150033189675,14.13645947265625,2.0,0.7
242,1.005711840713331,21.899976074218753,2.0,0.7
243,1.005711840713331,14.13645947265625,1.4,0.7
244,1.005711840713331,14.13645947265625,2.0,0.8
245,1.005711840713331,21.899976074218753,1.4,0.8
246,1.049150033189675,14.13645947265625,1.4,0.8
247,1.049150033189675,21.899976074218753,2.0,0.8
248,1.049150033189675,21.899976074218753,1.4,0.7
