Seed,Model Type,Max Nodes,Learning Rate,Batch Size,Model MAE,Validation MAE,Model Max AE,Validation Max AE,Model Wrong i_a,Validation Wrong i_a,Model Consumption MAE,Validation Consumption MAE,Model Consumption Max AE,Validation Consumption Max AE,Model i_a MAE,Validation i_a MAE,Model i_a Max AE,Validation i_a Max AE
42,ThreeLayer,2048,0.001,512,0.01922648400068283,0.01925954408943653,0.28248658776283264,0.26882636547088623,1539.0,391.0,0.12232410907745361,0.12121906131505966,2.068840503692627,2.171518087387085,0.02588476799428463,0.026064429432153702,0.23498569428920746,0.23738907277584076
42,ThreeLayer,2048,0.0001,64,0.016166025772690773,0.016380632296204567,0.17829099297523499,0.1815692037343979,1254.0,329.0,0.10697794705629349,0.10766304284334183,0.8082002997398376,0.8660368323326111,0.021340621635317802,0.021699419245123863,0.17042085528373718,0.1742328703403473
42,ThreeLayer,2048,0.0001,512,0.02093716524541378,0.020978152751922607,0.28188198804855347,0.2689155340194702,1754.0,443.0,0.12673091888427734,0.12825484573841095,2.2643678188323975,2.1928176879882812,0.02885335497558117,0.028778746724128723,0.23850858211517334,0.24143938720226288
42,ThreeLayer,2048,0.0001,128,0.01788884401321411,0.017900684848427773,0.21085192263126373,0.21045717597007751,1468.0,376.0,0.1141994297504425,0.1140524372458458,1.1298906803131104,1.20163893699646,0.024044258520007133,0.02408304251730442,0.1984444111585617,0.1962612122297287
42,ThreeLayer,2048,0.001,128,0.014061860740184784,0.014231501147150993,0.19622372090816498,0.19292844831943512,965.0,254.0,0.1051749661564827,0.10453185439109802,0.9931215643882751,1.0200285911560059,0.017317524179816246,0.017722871154546738,0.18389250338077545,0.18399061262607574
42,ThreeLayer,2048,0.001,64,0.01327277161180973,0.013543941080570221,0.1601732075214386,0.16466525197029114,907.0,240.0,0.098044753074646,0.09878846257925034,0.734199583530426,0.7627003788948059,0.016471924260258675,0.0169378574937582,0.1533665657043457,0.15642772614955902
42,ThreeLayer,2048,0.01,64,0.0206591933965683,0.02073761261999607,0.19724661111831665,0.19593629240989685,1559.0,412.0,0.14613734185695648,0.14509367942810059,1.0852423906326294,1.1240968704223633,0.026303496211767197,0.026567570865154266,0.18462048470973969,0.18345877528190613
42,ThreeLayer,2048,0.01,128,0.027588658034801483,0.024606823921203613,0.2535848915576935,0.24732200801372528,2096.0,518.0,0.19117207825183868,0.1729598045349121,1.707641839981079,1.7109365463256836,0.03553531691431999,0.03144289180636406,0.22897230088710785,0.22103461623191833
42,PudgeSixLayer,2048,0.001,512,0.015148230828344822,0.012526798993349075,0.32617732882499695,0.2740837335586548,1066.0,184.0,0.13669604063034058,0.1185234934091568,2.163740396499634,2.1923515796661377,0.01625162735581398,0.012875894084572792,0.2814059853553772,0.24033835530281067
42,PudgeSixLayer,2048,0.001,64,0.0036144242621958256,0.003950735088437796,0.0805542916059494,0.09819208830595016,121.0,52.0,0.0415320098400116,0.04266883805394173,0.37827393412590027,0.4022604823112488,0.002961641177535057,0.0035174591466784477,0.07017543166875839,0.08753780275583267
42,PudgeSixLayer,2048,0.001,128,0.003300988581031561,0.003879914293065667,0.0907321572303772,0.13112987577915192,51.0,40.0,0.04146096110343933,0.04463033378124237,0.5177828669548035,0.5856794714927673,0.002342067426070571,0.0031742826104164124,0.07447727024555206,0.11842725425958633
42,PudgeSixLayer,2048,0.01,64,0.006665459834039211,0.006932275835424662,0.10993513464927673,0.1211039125919342,242.0,75.0,0.08056113868951797,0.08216819167137146,0.5683887004852295,0.5775340795516968,0.005053660832345486,0.005422179587185383,0.10003196448087692,0.11017439514398575
42,PudgeSixLayer,2048,0.01,512,0.02723771147429943,0.025135107338428497,0.31786465644836426,0.27941522002220154,2423.0,557.0,0.22997938096523285,0.2055657058954239,2.780879259109497,2.3440070152282715,0.03084617853164673,0.02914935164153576,0.2605699896812439,0.26142197847366333
42,PudgeSixLayer,2048,0.0001,128,0.004979071673005819,0.005329189356416464,0.12646442651748657,0.13951724767684937,145.0,68.0,0.04632057994604111,0.04747413471341133,0.6319712996482849,0.6659009456634521,0.00519893504679203,0.005780646111816168,0.11418193578720093,0.12973739206790924
42,PudgeSixLayer,2048,0.0001,512,0.007949529215693474,0.008209733292460442,0.23204359412193298,0.2559092938899994,402.0,101.0,0.065664142370224,0.06650857627391815,1.30982506275177,1.4929742813110352,0.00915239192545414,0.009586040861904621,0.19984598457813263,0.224331796169281
42,PudgeSixLayer,2048,0.01,128,0.025328153744339943,0.022448258474469185,0.2594394385814667,0.23524953424930573,2502.0,500.0,0.19521184265613556,0.17424315214157104,1.5512701272964478,1.417550802230835,0.03059924952685833,0.0269938912242651,0.2413438856601715,0.22554612159729004
42,PudgeSixLayer,2048,0.0001,64,0.004370179492980242,0.004759074654430151,0.09031850844621658,0.1046503409743309,118.0,59.0,0.04332311451435089,0.044913411140441895,0.4291844367980957,0.4577127993106842,0.004289120435714722,0.00490351440384984,0.08125386387109756,0.09715591371059418
42,FourLayer,2048,0.0001,512,0.014543543569743633,0.014699465595185757,0.274152934551239,0.26330041885375977,1214.0,328.0,0.10266796499490738,0.10273096710443497,1.8430421352386475,2.070648193359375,0.0185384601354599,0.01884383149445057,0.23982596397399902,0.2420715093612671
42,FourLayer,2048,0.001,512,0.013732642866671085,0.013982859440147877,0.2864401340484619,0.28955724835395813,939.0,265.0,0.10455116629600525,0.10583335161209106,1.7487200498580933,1.9462692737579346,0.016723167151212692,0.017091864719986916,0.25158852338790894,0.2691665291786194
42,FourLayer,2048,0.01,64,0.5408047437667847,0.03344946354627609,1.2268189191818237,0.22924496233463287,6690.0,659.0,5.308289051055908,0.2509042024612427,11.284784317016602,1.5093355178833008,0.5362075567245483,0.04111975431442261,1.1209434270858765,0.20715321600437164
42,FourLayer,2048,0.0001,128,0.008985151536762714,0.009264269843697548,0.17017021775245667,0.17507919669151306,520.0,149.0,0.06562892347574234,0.06587598472833633,0.8092496991157532,0.8057119846343994,0.011227252893149853,0.011760106310248375,0.15949036180973053,0.16577380895614624
42,FourLayer,2048,0.001,64,0.007714499719440937,0.00808180682361126,0.1118369922041893,0.12354531139135361,215.0,73.0,0.07383223623037338,0.07468565553426743,0.5605966448783875,0.5894917249679565,0.007843101397156715,0.008490029722452164,0.10362815111875534,0.1170957013964653
42,FourLayer,2048,0.0001,64,0.00755268381908536,0.007933946326375008,0.12583217024803162,0.13307829201221466,350.0,94.0,0.059647660702466965,0.06066398695111275,0.5553386211395264,0.5693913698196411,0.008976869285106659,0.009634964168071747,0.11868533492088318,0.12549449503421783
42,FourLayer,2048,0.001,128,0.008726525120437145,0.008979558013379574,0.16041208803653717,0.16442888975143433,382.0,98.0,0.07837972790002823,0.07963348180055618,0.7908632159233093,0.816149115562439,0.009399919770658016,0.009777165949344635,0.14908406138420105,0.15254716575145721
42,FourLayer,2048,0.01,128,0.028840212151408195,0.02709973230957985,0.24967651069164276,0.2526114881038666,2610.0,589.0,0.2102198749780655,0.17621465027332306,1.6418756246566772,1.6043392419815063,0.03608136251568794,0.03609428554773331,0.2300408035516739,0.2380995750427246
42,FourLayer,2048,0.01,512,0.01881907321512699,0.019029490649700165,0.2882523834705353,0.2737056016921997,1629.0,438.0,0.14037172496318817,0.14318343997001648,1.8833659887313843,1.9059016704559326,0.0232156403362751,0.02334759198129177,0.2522655427455902,0.25504282116889954
42,PudgeFiveLayer,512,0.001,64,0.00507131963968277,0.005375860258936882,0.09360617399215698,0.10605493187904358,136.0,54.0,0.05154963955283165,0.052380070090293884,0.46415674686431885,0.48011600971221924,0.004846164956688881,0.005369922611862421,0.08422654867172241,0.09869019687175751
42,PudgeFiveLayer,512,0.01,512,0.015891559422016144,0.016308452934026718,0.3056126832962036,0.2617945969104767,1202.0,287.0,0.13475856184959412,0.1318061500787735,2.0246999263763428,1.5980874300003052,0.01793733984231949,0.019074471667408943,0.2660104036331177,0.24947473406791687
42,PudgeFiveLayer,512,0.001,128,0.005175585858523846,0.0054479637183249,0.12348993122577667,0.1411556601524353,135.0,61.0,0.05519268661737442,0.05582040920853615,0.6494061946868896,0.6444187760353088,0.004680394195020199,0.005160657223314047,0.11040861159563065,0.12968872487545013
42,PudgeFiveLayer,512,0.0001,512,0.016542065888643265,0.016514714807271957,0.28465259075164795,0.2779567241668701,1423.0,368.0,0.10824660956859589,0.10735610872507095,1.96746027469635,1.9621503353118896,0.02196233905851841,0.021999120712280273,0.24904309213161469,0.2579572796821594
42,PudgeFiveLayer,512,0.01,128,0.007379456423223019,0.0075744641944766045,0.1401745080947876,0.1515107899904251,211.0,73.0,0.0933791920542717,0.0935710147023201,0.8009082078933716,0.8102375864982605,0.00516465911641717,0.00553496740758419,0.12419747561216354,0.13775743544101715
42,PudgeFiveLayer,512,0.01,64,0.008133670315146446,0.008303203620016575,0.11882303655147552,0.12585477530956268,272.0,91.0,0.0936073511838913,0.0937189981341362,0.6105557084083557,0.6333304643630981,0.006649645511060953,0.006977245211601257,0.10794583708047867,0.1155301183462143
42,PudgeFiveLayer,512,0.001,512,0.008461924269795418,0.008646215312182903,0.23597264289855957,0.23379652202129364,365.0,97.0,0.07438015937805176,0.07458876073360443,1.5150887966156006,1.4678534269332886,0.009281656704843044,0.00962880440056324,0.19770564138889313,0.21657316386699677
42,PudgeFiveLayer,512,0.0001,128,0.010600115172564983,0.010777411051094532,0.17894110083580017,0.18287071585655212,656.0,173.0,0.08048407733440399,0.08065035939216614,0.8868764638900757,0.9090521335601807,0.012930899858474731,0.01326840091496706,0.1676693707704544,0.17262211441993713
42,PudgeFiveLayer,512,0.0001,64,0.00839385949075222,0.008719568140804768,0.12967948615550995,0.13494397699832916,398.0,112.0,0.06720363348722458,0.06809208542108536,0.5910190939903259,0.5964608788490295,0.009882879443466663,0.010443012230098248,0.12276401370763779,0.12834616005420685
42,FiveLayer,512,0.01,128,0.009367660619318485,0.009484458714723587,0.15249337255954742,0.15319636464118958,331.0,99.0,0.10208076983690262,0.10076560825109482,0.8664208054542542,0.8836786150932312,0.008247027173638344,0.008615747094154358,0.13754254579544067,0.14151130616664886
42,FiveLayer,512,0.0001,128,0.011420841328799725,0.011556526646018028,0.19330242276191711,0.18453876674175262,783.0,211.0,0.08576729893684387,0.08621224761009216,0.9496661424636841,0.9488831162452698,0.01402952428907156,0.014255172573029995,0.18193767964839935,0.17424406111240387
42,FiveLayer,512,0.001,64,0.005223301239311695,0.0056205675937235355,0.0917607843875885,0.11292250454425812,129.0,59.0,0.057885393500328064,0.05960984528064728,0.46967703104019165,0.5113154649734497,0.004499164875596762,0.005116515327244997,0.08146431297063828,0.10229311138391495
42,FiveLayer,512,0.001,128,0.00606108270585537,0.006350659765303135,0.13014984130859375,0.14441989362239838,163.0,62.0,0.06121823936700821,0.062470972537994385,0.6988623738288879,0.7297708988189697,0.005832289345562458,0.0062827374786138535,0.11796368658542633,0.13241440057754517
42,FiveLayer,512,0.001,512,0.009498033672571182,0.009646800346672535,0.2419712245464325,0.23446346819400787,415.0,114.0,0.08112264424562454,0.0810198038816452,1.596308708190918,1.6407850980758667,0.010661114938557148,0.010969216004014015,0.20270892977714539,0.20653584599494934
42,FiveLayer,512,0.01,512,0.011901680380105972,0.01208855863660574,0.26548072695732117,0.2577844262123108,762.0,213.0,0.10445869714021683,0.10404451191425323,1.675999641418457,1.6581776142120361,0.01307074073702097,0.013487057760357857,0.23418374359607697,0.2478405386209488
42,FiveLayer,512,0.01,64,0.008541526272892952,0.00877014547586441,0.12611588835716248,0.1325104981660843,324.0,106.0,0.10415125638246536,0.1050841212272644,0.6109462380409241,0.6235473155975342,0.006382023449987173,0.006743418052792549,0.11676238477230072,0.12383311241865158
42,FiveLayer,512,0.0001,512,0.017649637535214424,0.017678270116448402,0.29900962114334106,0.2752245366573334,1493.0,400.0,0.11693916469812393,0.1160566508769989,2.197176218032837,2.0266690254211426,0.023284347727894783,0.0234322939068079,0.25698432326316833,0.262920618057251
42,FiveLayer,512,0.0001,64,0.00978905986994505,0.010017250664532185,0.1435101181268692,0.14275866746902466,587.0,152.0,0.07802526652812958,0.07830227166414261,0.6307408213615417,0.6503578424453735,0.011561397463083267,0.011989332735538483,0.13701601326465607,0.1366623491048813
42,FiveLayer,2048,0.01,128,0.01171558815985918,0.011841331608593464,0.16720327734947205,0.1689324527978897,511.0,120.0,0.11846056580543518,0.11884691566228867,0.935269296169281,0.9648275375366211,0.011259926483035088,0.011471732519567013,0.15423154830932617,0.15904642641544342
42,FiveLayer,2048,0.001,64,0.004815707448869944,0.00521446019411087,0.08595243096351624,0.10734598338603973,105.0,50.0,0.049789056181907654,0.051814332604408264,0.4481847584247589,0.48550695180892944,0.004515834618359804,0.005105254240334034,0.07651495188474655,0.09609439224004745
42,FiveLayer,2048,0.001,512,0.008127742446959019,0.008440472185611725,0.22750024497509003,0.23939156532287598,336.0,95.0,0.07954279333353043,0.08069011569023132,1.3976380825042725,1.5274401903152466,0.008082857355475426,0.008590432815253735,0.19298645853996277,0.21382078528404236
42,FiveLayer,2048,0.0001,128,0.006473729852586985,0.006776906084269285,0.14336980879306793,0.15336540341377258,241.0,73.0,0.05578209087252617,0.056601136922836304,0.7046655416488647,0.7188832759857178,0.007216130383312702,0.007738322485238314,0.13185961544513702,0.1425943523645401
42,FiveLayer,2048,0.0001,64,0.005387078505009413,0.00575381750240922,0.10236097872257233,0.11285453289747238,173.0,68.0,0.049228157848119736,0.05027410387992859,0.47852012515068054,0.4857538342475891,0.005716210231184959,0.006342216860502958,0.09447968751192093,0.10634981840848923
42,FiveLayer,2048,0.0001,512,0.01005235593765974,0.010297896340489388,0.24969331920146942,0.25490814447402954,656.0,170.0,0.0750710591673851,0.0754394456744194,1.4108076095581055,1.5495024919509888,0.01239152904599905,0.012844761833548546,0.21879175305366516,0.2349424809217453
42,FiveLayer,2048,0.001,128,0.005698989611119032,0.005979102570563555,0.1275462955236435,0.14405103027820587,150.0,60.0,0.05571789667010307,0.056930772960186005,0.6641024351119995,0.6882025599479675,0.005673236679285765,0.0061088502407073975,0.11578980088233948,0.13249027729034424
42,FiveLayer,2048,0.01,512,0.01976328156888485,0.01990513503551483,0.30372539162635803,0.285406231880188,1775.0,455.0,0.1637551337480545,0.16594217717647552,2.29853892326355,2.1878600120544434,0.022701531648635864,0.022760536521673203,0.259294331073761,0.2606140971183777
42,FiveLayer,2048,0.01,64,0.037347838282585144,0.030880486592650414,0.25003132224082947,0.2270524650812149,3429.0,734.0,0.29767322540283203,0.25621408224105835,1.804374098777771,1.5458028316497803,0.044111158698797226,0.0354362353682518,0.2208474576473236,0.20662975311279297
42,PudgeFiveLayer,2048,0.001,512,0.008669509552419186,0.008979560807347298,0.22999875247478485,0.22472724318504333,338.0,97.0,0.07901245355606079,0.07975050806999207,1.4569625854492188,1.3742461204528809,0.009220881387591362,0.009765153750777245,0.18944798409938812,0.19830846786499023
42,PudgeFiveLayer,2048,0.0001,64,0.004981458652764559,0.005286585073918104,0.09631959348917007,0.10932180285453796,141.0,65.0,0.04713723063468933,0.047932595014572144,0.4572371244430542,0.46926209330558777,0.005119801964610815,0.0056483326479792595,0.08794170618057251,0.10101819038391113
