,Equation,Consumption
82,H,2.0581873253200595
83,H,0.4704950120960695
84,N,0.45810897931791844
85,N,1.3891252461372507
86,N,0.5848778375858207
87,N,2.8790982940597796
88,H,1.012785360265859
89,N,1.7284742274728384
90,N,1.84907469488597
91,N,1.663256157212356
92,N,1.115631126733515
93,N,2.431886449630201
94,L,1.6421897432253993
95,L,1.3811628122734578
96,L,2.508384616681805
97,H,0.7757632358033972
98,N,1.8098042193705122
99,H,0.8621305423354406
100,L,1.5305016343820506
101,L,1.512605238987931
102,L,0.7340075640843047
103,L,1.4296505897562655
104,H,1.0422863698435463
105,H,0.41153991764963477
106,H,0.9067216306693462
107,H,0.32414018128777644
108,H,0.361817802347455
109,H,0.3536054012245028
110,N,1.2595792701722177
111,N,1.6615863713096073
112,N,0.9715376042766489
113,N,2.904513192653858
114,N,1.575538503752029
115,N,3.086087359610047
116,N,5.006813355700209
117,N,1.5906173708109772
118,N,2.271715012321681
119,N,3.3862696369893945
120,N,0.6885443776725847
121,N,0.8438311597366691
122,N,1.1679077840298615
123,N,0.6392555587310589
124,H,0.6982034328398224
125,L,1.7998660753195952
126,H,0.8115160337573173
127,L,2.0077459136721627
128,N,1.4851216242107939
129,L,1.8743317421590335
130,N,5.566804662293249
131,N,5.335858062552361
132,L,3.124394707467018
133,N,4.566805095257408
134,N,3.4049201906876063
135,N,2.1624264566022893
136,N,3.173979719818498
137,N,2.0122105326201423
138,N,2.4605698806723715
139,N,2.0122105326201423
140,L,0.09047205207639342
141,L,0.0904714325091567
142,N,0.9238717240635992
143,L,0.09047213398066392
144,L,0.09047226294790744
145,N,0.3983816193314766
146,L,0.09047213732900435
147,N,0.005620724891352075
148,N,0.6778457163535201
149,N,0.0010219109837401308
150,H,1.082607519456265
151,L,1.7951020312045505
152,H,1.4293819262826926
153,H,1.005987013315528
154,N,2.0517948599806606
155,N,2.39777558099811
156,N,2.2793974367407452
157,N,3.415608805722785
158,L,1.8542536249514578
159,N,2.633601587599049
160,N,0.028287364464359314
161,N,0.028287364464359314
162,N,0.6308446477943047
163,N,0.028287364464359314
164,N,0.028287364464359314
165,N,0.9562593928076213
166,N,0.028287364464359314
167,N,0.6314670704203781
168,N,1.4884163744877117
169,N,1.0747444434813702
170,L,2.109611023554054
171,L,1.9945922551080428
172,L,3.5439582891300216
173,L,1.3963056497402546
174,N,2.554176351602103
175,N,2.374643225267853
176,N,1.6782764893837918
177,N,4.805568173159899
178,L,1.7872208699538643
179,N,2.5072489179003656
180,N,1.0788982501709479
181,N,1.018240294756342
182,N,1.6675269541321753
183,N,1.348873874379464
184,H,0.7695793443784331
185,L,1.7087770607405348
186,H,0.6985655008945246
187,L,1.4529316003483634
188,N,2.2505438531972994
189,L,1.6633829478783633
190,H,1.2938780592193835
191,H,1.2653151528583777
192,H,0.5413066699186717
193,H,1.1343454100243302
194,N,2.053888985945354
195,N,0.7434433608894895
196,N,1.0277644621859259
197,N,0.7800974642346886
198,H,0.5621013904977951
199,N,0.660414367524224
200,H,1.21201435455773
201,H,1.2995253503269826
202,H,0.9041871955299283
203,H,0.9042746278267142
204,H,1.0241987574805549
205,H,0.7899250163428555
206,H,0.7280109800206807
207,H,0.7950574740130345
208,H,0.634255727933522
209,H,0.6287169498038313
210,N,2.567476829649212
211,N,2.2540118264524436
212,N,2.567478060393982
213,N,1.7899285363073534
214,N,2.5557830953831058
215,N,1.760257718589031
216,N,1.5023420088992776
217,N,2.1777646894227995
218,N,1.4194416145382298
219,N,1.5023427587262497
220,L,0.826558560214925
221,L,0.8135174007284476
222,N,2.9255499342469475
223,L,0.8863726666509629
224,N,0.44338492166394716
225,N,1.977778394836217
226,N,0.45308573316535555
227,N,1.9944005577618136
228,L,3.1286239677310395
229,N,1.9943983215226428
230,N,0.4808605945126121
231,N,0.5035804787635292
232,N,0.2569618672139539
233,N,0.6316830801586797
234,L,1.4492106036334793
235,H,0.2615929428019533
236,L,1.5273184889899085
237,H,0.29331447083546647
238,N,0.26563141839771853
239,H,0.26643471551984776
240,N,1.2879270216751373
241,N,1.561181280865578
242,N,0.4854439002315181
243,N,1.2879251697211105
244,H,0.7164501466124475
245,H,0.32317794055485594
